id,statement,binary_label,subject,speaker
10540.json,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,True,"energy,history,job-accomplishments",scott-surovell
324.json,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",True,foreign-policy,barack-obama
9028.json,The economic turnaround started at the end of my term.,True,"economy,jobs",charlie-crist
2342.json,Jim Dunnam has not lived in the district he represents for years now.,False,candidates-biography,republican-party-texas
153.json,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",True,ethics,barack-obama
5602.json,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",True,jobs,oregon-lottery
9741.json,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,True,"energy,message-machine-2014,voting-record",duey-stroebel
7115.json,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",True,elections,robert-menendez
4148.json,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",True,"economy,jobs,new-hampshire-2012,poverty",bernie-s
8616.json,The economy bled $24 billion due to the government shutdown.,True,"economy,federal-budget,health-care",doonesbury
8705.json,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,False,health-care,george-will
10683.json,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",True,elections,bernie-s
3863.json,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",False,federal-budget,national-republican-congressional-committee
12372.json,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",True,"financial-regulation,foreign-policy,water",gwen-moore
12385.json,"Almost 100,000 people left Puerto Rico last year.",True,"bankruptcy,economy,population",jack-lew
9867.json,The United States has the highest corporate tax rate in the free world.,True,"corporations,taxes",eric-bolling
12408.json,We just had the best year for the auto industry in America in history.,True,economy,hillary-clinton
2673.json,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",True,"health-care,message-machine",greater-wisconsin-political-fund
7057.json,Says Mitt Romney wants to get rid of Planned Parenthood.,False,"abortion,federal-budget,health-care",planned-parenthood-action-fund
